-12.5,21.2,22.9,30.5,38.3,39.4,40.4,40.9,41.2,41.9,42.7,43.3,44.0,44.0,44.9,45.0,45.2,45.2,45.4,45.5,46.6,47.0,47.3,47.6,48.1,48.3,48.9,49.4,49.5,51.0,51.3,51.4
17.5,24.7,24.8,38.9,39.0,40.0,41.8,41.8,42.0,42.7,42.9,43.5,43.7,44.1,45.4,46.3,46.4,46.8,47.5,48.3,48.9,49.1,49.1,49.2,49.3,50.4,50.9,51.2,51.6,52.1,52.1,53.7
-1.9,21.0,22.8,24.9,32.2,36.5,37.4,41.1,41.2,41.3,42.4,44.0,44.4,44.9,45.1,45.1,45.3,46.3,46.5,47.1,47.2,47.6,48.1,49.0,49.5,50.6,51.5,51.5,53.4,54.6,57.0,58.9
2.8,10.4,23.5,35.5,37.7,37.9,38.2,40.4,41.0,41.1,41.4,41.6,41.6,42.0,43.1,43.2,43.5,44.7,44.8,45.1,45.4,46.5,47.7,48.0,48.6,48.9,51.3,51.4,51.8,54.3,54.8,60.4
-23.0,-16.7,15.9,22.5,24.9,25.0,37.8,38.0,38.3,38.7,38.8,39.2,39.6,39.6,41.2,41.6,41.9,42.9,44.0,44.9,45.2,46.3,48.9,50.0,50.1,50.9,52.5,52.8,53.0,53.4,53.8,55.8
-2.5,6.5,24.3,24.6,35.3,38.1,39.2,39.9,39.9,39.9,40.0,41.8,42.2,42.3,42.6,43.4,43.9,44.4,44.5,44.8,44.8,45.6,45.8,47.8,48.2,49.2,49.2,49.6,50.4,50.8,53.0,54.0
-22.7,-19.8,14.9,20.2,25.4,25.5,25.9,37.5,38.3,38.3,39.0,39.3,41.2,41.6,42.7,42.8,43.8,44.8,45.0,45.5,45.8,46.3,47.2,48.1,48.1,48.9,48.9,49.8,50.1,51.5,52.2,52.8
4.4,12.4,12.7,14.0,20.4,38.6,41.2,42.1,44.0,44.4,45.0,45.1,45.4,45.5,45.5,45.8,46.1,47.0,47.8,48.0,48.4,49.0,49.5,50.4,50.6,51.5,53.2,53.6,54.3,58.4,61.0,61.6
-10.8,-3.5,20.7,22.2,23.9,38.9,40.0,40.2,40.5,40.7,42.1,42.5,43.5,44.1,44.6,44.8,45.2,45.6,45.9,46.9,47.1,47.7,48.8,48.8,49.5,51.0,51.1,51.5,51.9,53.0,53.1,55.0
-15.6,2.5,17.2,21.7,25.1,25.9,37.3,41.2,41.7,42.4,43.1,43.5,43.7,44.9,45.9,46.0,46.5,46.6,48.0,48.3,48.6,48.9,50.7,50.7,51.5,52.4,52.8,53.1,53.3,54.2,60.4,61.6
-6.6,-2.5,-1.5,10.5,15.3,25.6,29.5,32.2,34.2,37.3,37.5,38.4,38.5,38.8,40.4,40.6,42.3,43.8,44.5,45.0,46.0,46.9,47.0,47.8,48.2,48.2,48.5,48.9,50.3,51.9,52.0,55.5
14.4,14.7,15.2,19.7,39.8,40.5,41.4,41.9,42.0,42.7,42.9,42.9,43.1,43.4,46.5,47.4,47.9,48.0,49.5,50.2,50.6,50.8,50.9,51.7,52.3,52.4,52.4,53.5,54.0,54.4,54.7,55.8
-1.2,11.1,15.1,17.3,25.4,28.5,35.3,38.6,38.8,39.0,41.1,41.5,41.9,42.5,42.7,42.8,43.4,43.8,43.9,44.8,45.4,45.7,45.9,47.6,47.7,48.6,48.6,49.8,50.2,50.6,52.1,53.9
4.3,14.4,18.9,23.8,24.8,27.8,29.8,30.8,36.1,38.4,41.5,42.0,42.2,43.1,43.1,43.1,43.2,44.5,45.5,45.7,45.9,45.9,47.9,48.4,48.5,48.7,50.6,51.1,52.2,52.8,53.3,61.2
-12.7,5.6,14.4,14.8,21.2,36.2,36.8,39.4,39.5,40.0,40.1,40.3,40.4,42.0,42.4,43.2,44.1,45.0,45.4,46.8,47.5,50.3,50.7,51.6,51.6,51.8,52.2,53.8,55.7,61.2,61.2,61.5
15.2,22.2,28.5,37.4,39.3,39.7,40.0,40.3,41.0,41.2,41.4,42.9,44.3,45.8,45.9,46.3,46.5,46.8,47.7,48.1,48.8,48.9,49.7,50.7,51.3,51.5,51.6,52.4,52.8,53.0,53.4,53.5
-1.5,9.6,13.5,15.0,18.2,20.9,35.9,36.6,37.9,39.0,39.9,40.0,40.9,42.3,43.1,43.3,43.3,45.2,47.3,47.4,48.4,50.1,50.2,50.7,51.0,51.4,51.7,51.7,51.9,52.8,55.4,60.8
14.6,23.3,27.1,28.7,36.6,37.4,37.4,37.8,40.4,41.6,43.2,43.6,43.7,44.3,44.5,45.3,45.3,45.4,46.6,47.6,49.0,50.3,50.4,50.7,51.1,51.6,51.6,52.3,55.1,58.7,59.4,59.9
4.6,14.9,15.0,36.6,36.8,36.9,38.9,40.0,40.8,41.1,41.6,41.8,41.9,42.8,42.8,44.2,45.3,45.6,45.7,46.2,46.3,48.9,48.9,50.2,50.6,50.8,51.4,52.0,52.3,52.7,52.7,53.2
-18.0,1.8,33.5,35.3,38.1,39.2,39.5,40.7,41.3,42.0,42.0,43.0,44.3,44.3,44.8,45.5,45.8,48.5,49.5,50.0,50.3,50.3,50.5,50.6,52.1,52.2,52.4,54.1,54.4,55.5,55.6,61.1
14.0,33.6,34.7,36.2,37.9,39.1,39.7,39.9,39.9,40.6,40.9,41.1,41.1,41.1,43.1,43.4,43.5,43.7,45.1,45.2,45.2,46.5,47.6,48.6,49.3,49.9,50.6,51.1,51.3,52.2,54.3,61.1
4.9,10.3,13.3,13.5,14.4,28.9,33.9,36.6,37.3,38.9,39.4,39.8,40.0,42.1,43.0,44.0,45.4,45.5,45.9,46.1,46.4,46.8,47.0,49.7,51.1,51.2,51.7,52.6,53.7,53.9,55.9,61.7
